Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
40 - 49;Male;Germany;250 - 999 (large);Real Estate;2;6;550;0;2;2;1;2;Hybrid (in-person + virtual);0;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
40 - 49;Male;Netherlands;250 - 999 (large);Technology / Software;0;5;1200;0;2;3;2;3;Hybrid (in-person + virtual);2;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Female;Other EU;1,000+ (enterprise);Consumer Goods;18;7;1350;4;3;4;5;4;No preference;6;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
Under 30;Male;Other EU;50 - 249 (medium);Other;25;4;650;5;4;4;4;4;No preference;5;The atmosphere exceeded my expectations. Well-organised, attentive staff and a high-calibre crowd made the day truly worthwhile.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;If the event maintained its focus on mid-market opportunities and expanded the panel discussions, I would certainly attend again.
40 - 49;Female;Netherlands;10 - 49 (small);Energy / Cleantech;5;5;1150;5;4;5;5;4;Hybrid (in-person + virtual);3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Non-binary / gender diverse;Netherlands;50 - 249 (medium);Financial Services;16;3;700;1;1;3;1;4;Hybrid (in-person + virtual);0;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
30 - 39;Male;France;50 - 249 (medium);Technology / Software;14;5;850;6;5;4;4;4;Hybrid (in-person + virtual);4;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Higher probability than I initially expected. Three of the presenting companies were in sectors where we are actively deploying capital.;I would return without hesitation. The quality of participants and the event structure made it one of the better investor events I have attended this year.
30 - 39;Other;Other non-EU;250 - 999 (large);Technology / Software;11;5;1100;2;4;4;1;3;Hybrid (in-person + virtual);3;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Male;Other EU;50 - 249 (medium);Financial Services;3;2;1000;3;4;4;3;3;Fully virtual;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Female;Germany;50 - 249 (medium);Technology / Software;14;5;1100;4;3;4;5;5;In-person only;3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Female;Netherlands;10 - 49 (small);Other;4;5;350;2;2;1;1;2;No preference;1;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
40 - 49;Male;Other non-EU;50 - 249 (medium);Financial Services;25;2;550;1;1;2;1;2;No preference;0;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
50 - 59;Male;Other non-EU;10 - 49 (small);Healthcare / Life Sciences;13;3;850;1;4;3;5;4;In-person only;1;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
50 - 59;Male;Germany;50 - 249 (medium);Other;7;7;500;1;3;4;4;3;Hybrid (in-person + virtual);1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
